City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sunnyside,46.3237,-120.0087,29.6,45,0,0.0,US,1693013576
83,cidreira,-30.1811,-50.2056,11.2,58,0,1.55,BR,1693013577
84,tura,25.5198,90.2201,24.19,97,100,1.59,IN,1693013579
85,vorgashor,67.5833,63.95,3.91,97,100,4.38,RU,1693013582
86,stavanger,58.9701,5.7333,14.18,97,40,2.06,NO,1693013583
87,palmas,-10.2128,-48.3603,25.93,83,40,0.0,BR,1693013584
88,as sulayyil,20.4607,45.5779,32.14,12,45,2.61,SA,1693013585
89,bilibino,68.0546,166.4372,13.29,37,100,1.12,RU,1693013587
90,greenland,43.0362,-70.8328,22.18,93,100,1.34,US,1693013588
91,newman,37.3138,-121.0208,33.19,34,0,2.68,US,1693013589
92,berdigestyakh,62.0989,126.6992,18.16,51,100,1.86,RU,1693013590
93,sanawad,22.1833,76.0667,24.63,86,15,4.05,IN,1693013591
94,tateyama,34.9833,139.8667,28.6,73,6,1.78,JP,1693013529
95,salekhard,66.53,66.6019,7.05,82,84,4.85,RU,1693013594
96,lebu,-37.6167,-73.65,6.6,77,42,2.1,CL,1693013595
97,saint-joseph,-21.3667,55.6167,19.71,77,24,5.12,RE,1693013596
98,rexburg,43.826,-111.7897,26.99,38,20,5.14,US,1693013597
99,haiku-pauwela,20.9219,-156.3051,26.69,67,58,7.42,US,1693013598
100,saldanha,-33.0117,17.9442,11.03,61,43,8.66,ZA,1693013599
101,margaret river,-33.95,115.0667,16.01,64,96,1.12,AU,1693013601
102,anadyr,64.75,177.4833,9.28,70,75,5.0,RU,1693013602
103,masterton,-40.9597,175.6575,13.58,58,12,0.55,NZ,1693013603
104,la'ie,21.6477,-157.9253,30.98,65,0,3.58,US,1693013604
105,cooma,-36.2333,149.1333,15.03,39,68,0.84,AU,1693013444
106,sarmiento,-45.5882,-69.07,4.94,56,0,6.62,AR,1693013361
